Date,Close
2015-12-14,4952.22998
2015-12-15,4995.359863
2015-12-16,5071.129883
2015-12-17,5002.549805
2015-12-18,4923.080078
2015-12-21,4968.919922
2015-12-22,5001.109863
2015-12-23,5045.930176
2015-12-24,5048.490234
2015-12-28,5040.990234
2015-12-29,5107.939941
2015-12-30,5065.850098
2015-12-31,5007.410156
2016-01-04,4903.089844
2016-01-05,4891.430176
2016-01-06,4835.759766
2016-01-07,4689.430176
2016-01-08,4643.629883
2016-01-11,4637.990234
2016-01-12,4685.919922
2016-01-13,4526.060059
2016-01-14,4615
2016-01-15,4488.419922
2016-01-19,4476.950195
2016-01-20,4471.689941
2016-01-21,4472.060059
2016-01-22,4591.180176
2016-01-25,4518.490234
2016-01-26,4567.669922
2016-01-27,4468.169922
2016-01-28,4506.680176
2016-01-29,4613.950195
2016-02-01,4620.370117
2016-02-02,4516.950195
2016-02-03,4504.240234
2016-02-04,4509.560059
2016-02-05,4363.140137
2016-02-08,4283.75
2016-02-09,4268.759766
2016-02-10,4283.589844
2016-02-11,4266.839844
2016-02-12,4337.509766
2016-02-16,4435.959961
2016-02-17,4534.060059
2016-02-18,4487.540039
2016-02-19,4504.430176
2016-02-22,4570.609863
2016-02-23,4503.580078
2016-02-24,4542.609863
2016-02-25,4582.200195
2016-02-26,4590.470215
2016-02-29,4557.950195
2016-03-01,4689.600098
2016-03-02,4703.419922
2016-03-03,4707.419922
2016-03-04,4717.02002
2016-03-07,4708.25
2016-03-08,4648.819824
2016-03-09,4674.379883
2016-03-10,4662.160156
2016-03-11,4748.470215
2016-03-14,4750.279785
2016-03-15,4728.669922
2016-03-16,4763.970215
2016-03-17,4774.990234
2016-03-18,4795.649902
2016-03-21,4808.870117
2016-03-22,4821.660156
2016-03-23,4768.859863
2016-03-24,4773.5
2016-03-28,4766.790039
2016-03-29,4846.620117
2016-03-30,4869.290039
2016-03-31,4869.850098
2016-04-01,4914.540039
2016-04-04,4891.799805
2016-04-05,4843.930176
2016-04-06,4920.720215
2016-04-07,4848.370117
2016-04-08,4850.689941
2016-04-11,4833.399902
2016-04-12,4872.089844
2016-04-13,4947.419922
2016-04-14,4945.890137
2016-04-15,4938.220215
2016-04-18,4960.02002
2016-04-19,4940.330078
2016-04-20,4948.129883
2016-04-21,4945.890137
2016-04-22,4906.22998
2016-04-25,4895.790039
2016-04-26,4888.279785
2016-04-27,4863.140137
2016-04-28,4805.290039
2016-04-29,4775.359863
2016-05-02,4817.589844
2016-05-03,4763.220215
2016-05-04,4725.640137
2016-05-05,4717.089844
2016-05-06,4736.160156
2016-05-09,4750.209961
2016-05-10,4809.879883
2016-05-11,4760.689941
2016-05-12,4737.330078
2016-05-13,4717.680176
2016-05-16,4775.459961
2016-05-17,4715.72998
2016-05-18,4739.120117
2016-05-19,4712.529785
2016-05-20,4769.560059
2016-05-23,4765.779785
2016-05-24,4861.060059
2016-05-25,4894.890137
2016-05-26,4901.77002
2016-05-27,4933.5
2016-05-31,4948.049805
2016-06-01,4952.25
2016-06-02,4971.359863
2016-06-03,4942.52002
2016-06-06,4968.709961
2016-06-07,4961.75
2016-06-08,4974.640137
2016-06-09,4958.620117
2016-06-10,4894.549805
2016-06-13,4848.439941
2016-06-14,4843.549805
2016-06-15,4834.930176
2016-06-16,4844.919922
2016-06-17,4800.339844
2016-06-20,4837.209961
2016-06-21,4843.759766
2016-06-22,4833.319824
2016-06-23,4910.040039
2016-06-24,4707.97998
2016-06-27,4594.439941
2016-06-28,4691.870117
2016-06-29,4779.25
2016-06-30,4842.669922
